Documento	Id
PF deflagra Operação Constantino para investigar invasões e queimadas em terras da União no Amazonas	375
PF incinera 480 kg de drogas no Cariri	376
Polícia Federal deflagra operação de combate ao tráfico de drogas na Bahia	377
Polícia Federal deflagra a segunda fase da Operação Quinino	378
Polícia Federal interrompe remessa de moeda falsa no Amapá	379
PF combate furtos contra a Caixa Econômica Federal em Chapecó SC	380
Polícia Federal realiza incursão de combate ao tráfico de drogas em Recife PE	381
Polícia Federal desarticula organização criminosa voltada para o tráfico de drogas e fabricação de cédulas falsas	382
PF e Receita apreendem droga dentro de bombons	383
PF deflagra a Operação Athoótita para combater possível disseminação de pornografia infantil	384
PF segue investigações sobre vacinas contra covid - 19 de origem ilícita	385
PF prende em Pau dos Ferros suspeito de integrar facção criminosa no Rio Grande do Norte	386
Polícia Federal realiza apreensão de droga no Porto de Santos SP	387
PF e BPFRON apreende quatro veículos carregados com contrabando	388
Polícia Federal apreende pistolas , fuzil e mais de 1 tonelada de cocaína no Porto de Santos SP	389
Polícia Federal prende traficante de armas e drogas procurado pela INTERPOL	390
PF deflagra segunda fase da Operação Aversa contra o tráfico de drogas em Campo Grande MS	391
Polícia Federal apreende cerca de R 430 mil na fronteira com o Uruguai	392
Polícia Federal combate o tráfico de drogas na fronteira com o Uruguai	393
Operação Recôndito apura desvio de recursos públicos federais destinados ao combate do Coronavírus	394
PF combate armazenamento e divulgação de imagens e vídeos de exploração sexual de crianças e adolescentes pela internet	395
Polícia Federal reprime crimes contra os Correios no Amapá	396
PF desarticula esquema de concessão de decisões judiciais irregulares no Rio de Janeiro	397
Polícia Federal realiza a prisão de uma pessoa por tráfico de drogas	398
Polícia Federal resgata vítimas do tráfico de pessoas na Bolívia	399
A Polícia Federal deflagra Operação Mitra para reprimir o porte ilegal de arma de fogo no Acre	400
PF deflagra Operação Apacheta no Maranhão	401
Polícia Federal localiza menor raptada em Valparaíso de Goiás GO	402
PF prende homem por tráfico internacional de drogas	403
PF e BPFRON estoura depósito milionário de contrabando	404
PF deflagra operação de combate a fraudes no auxílio emergencial cometidas por servidores públicos	405
Policiais federais , civis COPE PR e militares BPFRON cumprem mandado de prisão pelo crime de tráfico de drogas , em Itaipulândia	406
